Item,Translation,Context,Context translation
zapewnić,обеспечить,,
urządzenia,устройства,,
sprzęt,оборудование,может быть и про спортивное обородувание и про технику и тд,
sokowirówka,соковыжималка,,
blender,блендер,,
robot kuchenny,кухонный комбайн,,
deska do prasowania,гладильная доска,,
gust,вкус,,
właśnie,только что / точно / верно,,
czyli,то есть,,
jak,как,"Jak bedziesz w Krakowie, zadzwoń do nas.",
jakby,как,"Jakbyś była w Krakowie, zadzwoń do nas.",
jeśli,если,"Jeśli (jeżeli) masz ochote, możemy iść na kawę.",
jeśliby,если,"Jeślibyscie przyjechali do Krakowa, pokazalibyśmy wam Kazimierz.",
"chociaż, choć",хотя,,
natomiast,тогда как,,
"lecz, ale",но,,
więc,поэтому,,
ponieważ,поскольку / потому что,,
bowiem,так как,,
mimo,несмотря на,,
tędy,сюда,,
tamtędy,туда,,
zostawać,остаться,,
garnitur,костюм,,
krawat,галстук,,
rękawiczki,перчатки,,
czapka,шапка,,
kurtka,куртка,,
spodnie,брюки,,
skórzany,кожаный,,
w kropki,в горошек,,
wełna,шерсть,,
gruba,грубая,,
cienki,тонкий,,
nie stać mnie na,я не могу себе позволить,,
kasa,каса / деньги,nie mam kasy,не могу заплатить
trwonić,растрачивать,,
wydawać,тратить,,
ogólnie,вообще,,
opinia / zdanie,мнение,,
okoliczności,обстоятельства,,
szacunek,уважение,,
wreszcie,наконец,,
najwyższy i najgrubszy,самый высокий и самый толстый,,
chrupiący,хрустящий,,
sprzątać,убирать,,
podnieść słuchawkę,поднять трубку ,,
załatwić,уладить,,
należeć do,принадлежать к,,
bliźniak,близнец,,
urodziłem się,я родился,,
zwiedzać,посещать,,
wychodzić za mąż,выйти замуж,,
sufit,потолок,,
spiżarnia,кладовая,,
pokój dziecięcy,детская комната,,
korytarz,коридор,,
łazienka,ванная комната,,
twój wymarzony dom,дом вашей мечты,,
parter,первый этаж,,
piętro,этаж,,
przeprowadzka,переезд,,
gabinet,кабинет,,
toaleta,туалет,,
jadalnia,столовая,,
taras,терраса,,
przedpokój,прихожая,,
wybitna,выдающаяся,,
niezdecydowany,нерешительный,,
dziennikarz,журналист,,
pić mi się chce,хочется пить,,
samodzielny,самостоятельный,,
roztrzepany,рассеянный,,
smutny,грустный,,
mam to w dupie,мне плевать,,
gościu,незнакомец,,
ziomek,земляк,,
chodnik,тротуар,,
regał,стеллаж,,
na plaży,на пляже,,
łyżwy,коньки,,
narty,лыжи,,
w doniczce,в горшке,,
wady i zalety,минусы и плюсы,zalety - преимущества; wady - недостатки,
łatwy,легкий,,
uważam,я считаю / я думаю,,
wynagrodzenie,зарплата,,
połączyć,объединить,,
irytuje,раздражает,,
rządzić,управлять,,
wstręt,отвращение,,
wymyślić,придумать,,
radość,радость,,
wstyd,стыд,,
smutek,печаль,,
woda spada/biegnie,вода падает / бежит,,
skomplikowane,сложно,,
bez PIENIĘDZY,без денег,,
rondo drogowe,кольцевая дорога,,
statek,корабль,,
dyszka,10zl,,
dodają wszędzie,они добавляют везде,,
Niezłe,Неплохо,,
Świetne,Отлично,,
garnek,кастрюля,,
wieprzowina,свинина,,
brzuch,живот,,
brytyjscy naukowcy,британские ученые,,
udowodnić,доказать,,
trzymać dietę,придерживаться диеты,,
ogień,огонь,,
zanim,прежде чем,,
kocię,котенок,,
gniazdo z małymi pisklętami,гнездо с маленькими птенцами,,
schronisko,приют,,
kruk,ворон,,
futro,мех,,
wolno,медленно,,
W godzinach szczytu,В часы пик,,
hodować,выращивать,,
odpowiedzialność,ответственность,,
spoczywa duża odpowiedzialność,большая ответственность лежит,,
niewolnictwo,рабство,,
uchwyt,держатель,,
