Item,Translation,Context,Context translation
annual,годовой,annual payment for life,ежегодный пожизненный платеж
on condition,при условии,on condition that he receive smth,"при условии, что он получит что-то"
to stick,придерживаться,to stick to commitments,придерживаться обязательств
retirement,уход на пенсию / уход в отставку,he spent much of his retirement traveling in Europe,"он провел большую часть своей пенсии, путешествуя по Европе"
to resist,сопротивляться,antibodies help us to resist infection,антитела помогают нам противостоять инфекции
to lack,не хватать / испытывать недостаток,,
lack,недостаток,his lack of manners is unbelievable,его отсутствие манер невероятно
capable,способный,I'm quite capable of taking care of myself,Я вполне способен позаботиться о себе
frighten,пугать,if you say anything to him you might frighten him,"если ты ему что-нибудь скажешь, можешь напугать его"
in spite of,несмотря на,,
failure,неудача,,
determined,определенный / решительный,determined to succeed,полон решимости добиться успеха
evident,очевидный,she ate the cookies with evident enjoyment,она съела печенье с явным удовольствием
courage,смелость,,
amusing,забавный,,
towards,в направлении,the first step towards peace,первый шаг к миру
proven,доказано / доказанный,a proven risk to health,доказанный риск для здоровья
brainwash,промывание мозгов,the organization could brainwash young people,организация могла промыть мозги молодым людям
signpost,указатель,,
recover,восстанавливать,the economy has begun to recover,экономика начала восстанавливаться
janitor,дворник,,
increase,увеличивать,he was waiting for the next pay increase,он ждал следующего повышения зарплаты
figure out,выяснить / понять / придумать,Then you better figure out how to catch him,"Тогда тебе лучше придумать / выяснить, как его поймать"
cause,причина,"I have a cause, several actually.","У меня есть причина, на самом деле несколько."
confidence,уверенность / доверие,They have our confidence and support.,Они могут рассчитывать на наше доверие и поддержку.
engagement,помолвка,We agreed our engagement was strictly business.,"Мы решили, что наша помолвка всего лишь формальность."
fertility,плодородие / плодовитость,improve the soil fertility by adding compost,"улучшить плодородие почвы, добавив компост"
pagan,язычник,My husband is just like that pagan emperor.,"Мой муж точно такой же, как тот языческий император."
burial,захоронение,,
coincidence,совпадение,It was no coincidence that we met.,"То, что мы встретились - это не совпадение."
sacrifice,жертва / жертвоприношение,This requires the sacrifice of time and energy.,Это требует жертв - в плане времени и энергии.
conspiracy,заговор,"When something happens, she sees it as a conspiracy.","Когда что-то случается, она воспринимает это как заговор."
essential,существенный / необходимый,But we believe that more than legitimacy is essential to success.,"Но мы считаем, что для успеха необходимо нечто большее, чем легитимность."
essentials,предметы первой необходимости,,
remain,оставаться,it'll still remain a part of our culture,это по-прежнему останется частью нашей культуры
encourage,поощрять,they encourage us to keep working,они побуждают нас продолжать работать
loan,кредит / заём / ссуда,"borrowers can take out a loan for $84,000",заемщики могут взять ссуду на $ 84 000
goat,козел / коза,You'd do better if you buy a goat.,"Вы бы поступили умнее, купив козу."
intend,собираться / намереваться,What do you intend doing about it?,Что вы собираетесь с этим делать?
obtain,получать,I had to obtain permission from her father,Мне пришлось получить разрешение от ее отца
actually,фактически / на самом деле,he actually expected me to be pleased about it!,"он на самом деле ожидал, что я буду доволен этим!"
possess,обладать / владеть,he did not possess a sense of humor,он не обладал чувством юмора
gain,получить / добиться / выгода / усиление,"Whenever another creature comes into play, you gain 1 life.","Каждый раз, когда в игру входит другое существо, вы получаете 1 жизнь."
prediction,прогнозирование / предсказание,the prediction of future behavior,предсказание будущего поведения
gap,зазор,,
sustainable,стабильный,,
aspiration,стремление,,
pros and cons,плюсы и минусы,,
meassure,мера,,
high-end,лидирующий,,
struggle,борьба,,
praise,хвалить,,
impact,влияние,,
wealth,богатство,,
affairs,дела,,
suppliers,поставщики,,
suspiciously,подозрительно,,
half as much,вдвое меньше,,
twice as much / double price,вдвое больше,,
evidence,свидетельство / доказательство,,
suspect,подозревать,,
victim,жертва,,
witness,свидетель,,
patient,терпеливый / пациент,,
hitchhike,автостоп,,
prodigy,вундеркинд,,
enhances,усиливать,,
embarrassed,смущенный,,
confused,спутанный / смущенный,He was totally confused by the new company policy,
frustrated,растроенный,,
try on,примерять,,
dress up,наряжаться,,
outfit,наряд,,
put off,откладывать,,
take off,снять,,
kick out,выгонять,,
settle down,успокоиться / остепениться / поселиться,,
